         7221921 function calls (6871246 primitive calls) in 34.186 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1706   10.531    0.006   10.574    0.006 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:220(execute)
  945/550    0.017    0.000    9.372    0.017 /home/manu/src/merchise/pgi/openerp/openerp/models.py:4459(_where_calc)
      175    9.168    0.052    9.170    0.052 /home/manu/src/merchise/pgi/openerp/openerp/service/server.py:784(sleep)
  902/507    0.011    0.000    7.995    0.016 /home/manu/src/merchise/pgi/openerp/openerp/osv/expression.py:645(__init__)
  902/507    0.090    0.000    7.947    0.016 /home/manu/src/merchise/pgi/openerp/openerp/osv/expression.py:690(parse)
74549/51181    0.083    0.000    6.692    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5599(__getitem__)
    37/33    0.000    0.000    5.456    0.165 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:873(compute_value)
    37/33    0.001    0.000    5.456    0.165 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:863(_compute_value)
        1    0.007    0.007    4.567    4.567 /home/manu/src/merchise/pgi/xopgi.account/xopgi/xopgi_account_analytic_enhancement/models/account_analytic_account.py:254(_compute_commission)
 7681/853    0.037    0.000    4.419    0.005 /home/manu/src/merchise/pgi/xopgi.account/xopgi/xopgi_account_analytic_enhancement/models/account_analytic_account.py:92(inner)
      853    0.007    0.000    4.171    0.005 /home/manu/src/merchise/pgi/xopgi.account/xopgi/xopgi_account_analytic_enhancement/models/account_analytic_account.py:119(_compute_margin_commission)
    25060    0.064    0.000    3.497    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5340(_convert_to_cache)
    25060    0.168    0.000    3.336    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5350(<dictcomp>)
    20692    0.056    0.000    2.652    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:1086(convert_to_cache)
    20917    0.060    0.000    2.574    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:1061(digits)
        5    0.000    0.000    2.136    0.427 /home/manu/src/merchise/pgi/openerp/openerp/http.py:745(dispatch)
   302/28    0.006    0.000    2.023    0.072 /home/manu/src/merchise/pgi/openerp/openerp/tools/cache.py:102(lookup)
     8184    0.035    0.000    2.001    0.000 /home/manu/src/merchise/pgi/openerp/openerp/osv/fields.py:56(_get_cursor)
        4    0.016    0.004    1.940    0.485 /home/manu/src/merchise/pgi/xopgi.account/xopgi/xopgi_account_analytic_enhancement/models/account_analytic_account.py:112(_compute)
     4302    0.011    0.000    1.825    0.000 /usr/lib/python2.7/contextlib.py:15(__enter__)
        1    0.000    0.000    1.813    1.813 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:474(web_client)
        1    0.000    0.000    1.812    1.812 <string>:1(load_menus)
        1    0.001    0.001    1.812    1.812 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_menu.py:371(load_menus)
     4146    0.014    0.000    1.568    0.000 /home/manu/src/merchise/pgi/openerp/openerp/modules/registry.py:260(cursor)
     4148    0.026    0.000    1.564    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:572(cursor)
     4148    0.113    0.000    1.526    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:161(__init__)
      3/2    0.001    0.000    1.479    0.739 /home/manu/src/merchise/pgi/odoo/addons/mail/mail_group_menu.py:38(search)
      3/2    0.000    0.000    1.475    0.737 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_menu.py:112(search)
        4    0.000    0.000    1.464    0.366 /home/manu/src/merchise/pgi/openerp/openerp/api.py:369(old_api)
        2    0.007    0.003    1.461    0.730 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_menu.py:59(_filter_visible_menus)
        1    0.000    0.000    1.456    1.456 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_menu.py:347(get_user_roots)
      902    0.024    0.000    1.397    0.002 /home/manu/src/merchise/pgi/openerp/openerp/osv/expression.py:1267(to_sql)
    16219    0.094    0.000    1.366    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/client.py:566(execute_command)
     6017    0.037    0.000    1.318    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5411(filtered)
     6041    0.061    0.000    1.239    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:827(__set__)
17964/17081    0.013    0.000    1.238    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:1562(convert_to_read)
     6041    0.074    0.000    1.107    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:977(modified_draft)
        5    0.005    0.001    0.972    0.194 /home/manu/src/merchise/pgi/odoo/addons/analytic/analytic.py:60(_debit_credit_bal_qtty)
      292    0.002    0.000    0.910    0.003 /home/manu/src/merchise/pgi/openerp/openerp/models.py:1657(name_get)
        5    0.001    0.000    0.883    0.177 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:536(_compute_related)
       53    0.000    0.000    0.854    0.016 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5619(__setitem__)
6879/6852    0.037    0.000    0.837    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/cache.py:65(lookup)
    31075    0.036    0.000    0.808    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5385(mapped)
    10185    0.029    0.000    0.803    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:991(<lambda>)
        5    0.003    0.001    0.783    0.157 /home/manu/src/merchise/pgi/odoo/addons/analytic/analytic.py:42(_compute_level_tree)
       25    0.000    0.000    0.774    0.031 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1464(get_response)
    31075    0.085    0.000    0.772    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5370(_mapped_func)
 2602/854    0.023    0.000    0.770    0.001 /home/manu/src/merchise/pgi/odoo/addons/analytic/analytic.py:45(recursive_computation)
        1    0.000    0.000    0.765    0.765 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1304(flatten)
        1    0.000    0.000    0.765    0.765 /home/manu/src/merchise/pgi/openerp/openerp/http.py:1295(render)
      3/1    0.000    0.000    0.765    0.765 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_view.py:981(render)
    929/1    0.004    0.000    0.764    0.764 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:239(render)
 2507/902    0.300    0.000    0.757    0.001 /home/manu/src/merchise/pgi/openerp/openerp/tools/misc.py:252(flatten)
     4149    0.753    0.000    0.753    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:338(autocommit)
   4555/1    0.060    0.000    0.750    0.750 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:264(render_node)
   4126/1    0.050    0.000    0.750    0.750 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:310(render_element)
    926/1    0.014    0.000    0.750    0.750 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:435(render_tag_call)
     8296    0.033    0.000    0.725    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:460(_locked)
3416/3400    0.020    0.000    0.723    0.000 /home/manu/src/merchise/pgi/xopgi.account/xopgi/xopgi_account_analytic_enhancement/models/account_analytic_account.py:58(_get)
    10185    0.073    0.000    0.708    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5400(_mapped_cache)
    42/16    0.004    0.000    0.643    0.040 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_actions.py:320(read)
    25060    0.073    0.000    0.642    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:6005(update)
     7681    0.010    0.000    0.640    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/client.py:876(get)
     4148    0.547    0.000    0.624    0.000 /home/manu/src/merchise/pgi/openerp/openerp/sql_db.py:482(borrow)
16220/16219    0.037    0.000    0.610    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/connection.py:561(send_command)
     2233    0.470    0.000    0.601    0.000 /home/manu/src/merchise/pgi/openerp/openerp/osv/expression.py:1130(__leaf_to_sql)
    26717    0.189    0.000    0.582    0.000 /usr/lib/python2.7/_abcoll.py:526(update)
   141598    0.264    0.000    0.570    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5991(__getitem__)
    16219    0.034    0.000    0.569    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/client.py:583(parse_response)
    16220    0.025    0.000    0.526    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/connection.py:574(read_response)
50048/18340    0.156    0.000    0.522    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/func.py:61(wrapper)
1319/1317    0.006    0.000    0.512    0.000 /home/manu/src/merchise/pgi/openerp/openerp/api.py:478(new_api)
     9506    0.087    0.000    0.511    0.000 /home/manu/src/merchise/pgi/openerp/openerp/modules/registry.py:331(get)
     8346    0.053    0.000    0.511    0.000 /home/manu/src/merchise/pgi/openerp/openerp/__init__.py:59(registry)
    16220    0.501    0.000    0.501    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/connection.py:329(read_response)
   211178    0.193    0.000    0.476    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:1865(__get__)
     4092    0.023    0.000    0.462    0.000 /home/manu/src/merchise/pgi/odoo/addons/decimal_precision/decimal_precision.py:70(change_digit)
      381    0.007    0.000    0.457    0.001 /home/manu/src/merchise/pgi/xopgi.hotfixes/xopgi/xopgi_hotfixes/message.py:41(check)
   808413    0.457    0.000    0.457    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/misc.py:272(isiterable)
   266810    0.453    0.000    0.453    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5247(_browse)
      379    0.361    0.001    0.429    0.001 /home/manu/src/merchise/pgi/odoo/addons/mail/mail_thread.py:775(message_capable_models)
   136081    0.142    0.000    0.417    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5264(browse)
        2    0.000    0.000    0.410    0.205 /home/manu/src/merchise/pgi/odoo/addons/auth_crypt/auth_crypt.py:49(check_credentials)
    137/2    0.006    0.000    0.409    0.204 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:383(render_tag_foreach)
        2    0.000    0.000    0.404    0.202 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/context.py:2554(verify_and_update)
      348    0.140    0.000    0.404    0.001 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/wsgi.py:484(__init__)
        2    0.000    0.000    0.404    0.202 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/utils/handlers.py:561(verify)
        2    0.000    0.000    0.403    0.202 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/handlers/pbkdf2.py:81(_calc_checksum)
        2    0.000    0.000    0.403    0.202 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/utils/pbkdf2.py:339(pbkdf2)
        4    0.043    0.011    0.403    0.101 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/utils/pbkdf2.py:403(gen)
        6    0.001    0.000    0.402    0.067 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_ui_menu.py:209(_action)
     4269    0.010    0.000    0.399    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/client.py:1041(set)
        4    0.000    0.000    0.398    0.100 /home/manu/src/merchise/pgi/xopgi.base/xopgi/xopgi_work_distributor/res_config.py:51(fields_view_get)
        4    0.000    0.000    0.398    0.100 /home/manu/src/merchise/pgi/odoo/addons/mail/mail_thread.py:347(fields_view_get)
        4    0.001    0.000    0.398    0.099 /home/manu/src/merchise/pgi/openerp/openerp/models.py:1476(fields_view_get)
   489/65    0.001    0.000    0.362    0.006 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:430(render_tag_if)
     4269    0.009    0.000    0.357    0.000 /home/manu/.buildout/eggs/redis-2.10.5-py2.7.egg/redis/client.py:858(expire)
    17248    0.047    0.000    0.355    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/lru.py:35(__getitem__)
   146742    0.355    0.000    0.355    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5998(__setitem__)
    36782    0.095    0.000    0.352    0.000 /home/manu/src/merchise/pgi/openerp/openerp/fields.py:1548(convert_to_cache)
       80    0.000    0.000    0.345    0.004 /home/manu/src/merchise/pgi/odoo/addons/analytic_contract_hr_expense/analytic_contract_hr_expense.py:42(_get_total_remaining)
       80    0.000    0.000    0.344    0.004 /home/manu/src/merchise/pgi/odoo/addons/account_analytic_analysis/account_analytic_analysis.py:440(_get_total_remaining)
        1    0.000    0.000    0.333    0.333 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:650(load)
       10    0.000    0.000    0.329    0.033 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:948(call_kw)
       10    0.000    0.000    0.329    0.033 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:938(_call_kw)
        1    0.000    0.000    0.327    0.327 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/test.py:771(get)
        1    0.000    0.000    0.327    0.327 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/test.py:701(open)
      436    0.001    0.000    0.326    0.001 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:474(render_tag_set)
        1    0.000    0.000    0.326    0.326 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/test.py:655(run_wsgi_app)
        1    0.000    0.000    0.325    0.325 /home/manu/.buildout/eggs/Werkzeug-0.10.4-py2.7.egg/werkzeug/test.py:840(run_wsgi_app)
     3749    0.006    0.000    0.320    0.000 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:201(eval)
     3749    0.016    0.000    0.314    0.000 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:84(safe_eval)
        1    0.001    0.001    0.314    0.314 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:571(qweb)
        1    0.002    0.002    0.309    0.309 /home/manu/src/merchise/pgi/odoo/addons/web/controllers/main.py:209(concat_xml)
        2    0.000    0.000    0.304    0.152 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:448(render_tag_call_assets)
        2    0.000    0.000    0.304    0.152 /home/manu/src/merchise/pgi/openerp/openerp/addons/base/ir/ir_qweb.py:1090(__init__)
    30555    0.058    0.000    0.304    0.000 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5408(<lambda>)
     3797    0.032    0.000    0.301    0.000 /home/manu/src/merchise/pgi/openerp/openerp/tools/safe_eval.py:231(safe_eval)
      520    0.001    0.000    0.299    0.001 /home/manu/src/merchise/pgi/openerp/openerp/models.py:5419(<lambda>)
    38000    0.295    0.000    0.295    0.000 /home/manu/.buildout/eggs/passlib-1.6.2-py2.7.egg/passlib/utils/pbkdf2.py:188(prf)
